2,beierle_2x2,2,2,10,8,beierle_2x2,2,2,10,8
2,beierle_2x2,2,2,26,16,beierle_2x2,2,2,26,16
2,beierle_2x2_inv_alpha_6,4,6,4,4,beierle_2x2_inv_alpha_7,4,4,4,6
3,beierle_3x3,3,6,21,21,beierle_3x3,3,6,21,21
3,beierle_3x3,3,6,57,39,beierle_3x3,3,6,57,39
3,beierle_3x3_inv_alpha_6,6,12,6,9,beierle_3x3_inv_alpha_7,6,9,6,12
4,beierle_4x4_alpha_2,16,20,24,24,beierle_4x4_alpha_2,16,20,24,24
4,beierle_4x4_alpha_3,16,24,24,28,beierle_4x4_alpha_11,16,20,40,24
4,beierle_4x4_alpha_11,16,20,40,24,beierle_4x4_alpha_3,16,24,24,28
5,beierle_5x5_alpha_2,40,35,140,100,beierle_5x5_alpha_2,40,35,140,100
5,beierle_5x5_alpha_8,45,25,45,55,beierle_5x5_alpha_8,45,25,45,55
5,beierle_5x5_alpha_10,45,45,45,30,beierle_5x5_alpha_12,45,30,45,45
6,beierle_6x6_alpha_71,102,66,216,132,beierle_6x6_alpha_71,102,66,216,132
6,beierle_6x6_alpha_142,102,72,186,126,beierle_6x6_alpha_142,102,72,186,126
6,beierle_6x6_alpha_167,102,78,228,156,beierle_6x6_alpha_167,102,78,228,156
7,beierle_7x7_alpha_2,112,84,182,147,beierle_7x7_alpha_2,112,84,182,147
7,beierle_7x7_alpha_3,126,119,301,182,beierle_7x7_alpha_3,126,119,301,182
7,beierle_7x7_alpha_7,126,140,259,182,beierle_7x7_alpha_7,126,140,259,182
8,beierle_8x8_alpha_30,248,184,336,216,beierle_8x8_alpha_30,248,184,336,216
8,beierle_8x8_alpha_90,264,216,376,248,beierle_8x8_alpha_90,264,216,376,248
8,beierle_8x8_alpha_148,288,200,296,208,beierle_8x8_alpha_73,296,128,384,248
