3,LwCircuits2018,,xr6,ixr9,xt3,ixt3,duwal_1_int_x^2 + x + 1,duwal_1_int_x^2 + x + 1_inv
3,LwCircuits2018,4,xr6,ixr21,xt3,ixt21,duwal_1_int_x^4 + x + 1,duwal_1_int_x^4 + x + 1_inv
3,LwCircuits2018,4,xr6,ixr21,xt3,ixt21,duwal_1_int_x^4 + x^3 + 1,duwal_1_int_x^4 + x^3 + 1_inv
3,LwCircuits2018,4,xr6,ixr21,xt3,ixt21,duwal_1_int_x^4 + x^3 + x^2 + x + 1,duwal_1_int_x^4 + x^3 + x^2 + x + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^4 + x^3 + x + 1,duwal_1_int_x^8 + x^4 + x^3 + x + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^4 + x^3 + x^2 + 1,duwal_1_int_x^8 + x^4 + x^3 + x^2 + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^5 + x^3 + x + 1,duwal_1_int_x^8 + x^5 + x^3 + x + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^5 + x^3 + x^2 + 1,duwal_1_int_x^8 + x^5 + x^3 + x^2 + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^5 + x^4 + x^3 + 1,duwal_1_int_x^8 + x^5 + x^4 + x^3 + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^5 + x^4 + x^3 + x^2 + x + 1,duwal_1_int_x^8 + x^5 + x^4 + x^3 + x^2 + x + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^6 + x^3 + x^2 + 1,duwal_1_int_x^8 + x^6 + x^3 + x^2 + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,duwal_1_int_x^8 + x^6 + x^4 + x^3 + x^2 + x + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^6 + x^5 + x + 1,duwal_1_int_x^8 + x^6 + x^5 + x + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^6 + x^5 + x^2 + 1,duwal_1_int_x^8 + x^6 + x^5 + x^2 + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^6 + x^5 + x^3 + 1,duwal_1_int_x^8 + x^6 + x^5 + x^3 + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^6 + x^5 + x^4 + 1,duwal_1_int_x^8 + x^6 + x^5 + x^4 + 1_inv
3,LwCircuits2018,8,xr6,ixr39,xt3,ixt57,duwal_1_int_x^8 + x^6 + x^5 + x^4 + x^2 + x + 1,duwal_1_int_x^8 + x^6 + x^5 + x^4 + x^2 + x + 1_inv
