Dim;Paper;Field Power;XOR \\ iXOR;XTIME \\ iXTIME;ID \\ iID
8;SHARK1996;8;235 \\  223;369 \\ 393;(\refmat:shark) \\  (\refmat:shark-inv) \\
4;SQUARE1997;8;16 \\ 40;8 \\  48;\\ (\refmat:square) \\  (\refmat:square-inv) \\
8;Youssef1997;8;240;344;(\refmat:tavares) \\
3;BKSQ1998;8;9 \\ 39;9 \\ 63;\\ (\refmat:bksq) \\  (\refmat:bksq-inv) \\
4;DesignOfRijndael2002;8;16 \\ 40;8 \\ 48;\\ (\refmat:rijndael) \\  (\refmat:rijndael-inv) \\
8;KHAZAD2000;8;112;120;(\refmat:khazad) \\
4;ANUBIS2000;8;16;20;(\refmat:anubis) \\
4;ANUBIS2000;8;20\\ 69;32\\ 101;(\refmat:anubis-ke) \\  (\refmat:anubis-ke-inv) \\
4;Hierocrypt2000-Hierocrypt-L1-2000;8;52\\ 52;108\\ 104;(\refmat:hierocrypt-3-lower) \\  (\refmat:hierocrypt-3-lower-inv) \\
4;Hierocrypt2000;4;32\\ 40;40\\ 44;(\refmat:hierocrypt-3-higher) \\  (\refmat:hierocrypt-3-higher-inv) \\
2;Hierocrypt-L1-2000;4;8\\ 7;10\\ 11;(\refmat:hierocrypt-l1-higher) \\  (\refmat:hierocrypt-l1-higher-inv) \\
8;Shirai2003;8;72\\ 240;88\\ 400;\eqrefshirai-0\\ \eqrefshirai-0-inv \\
8;Shirai2003;8;80\\ 288;80\\ 424;\eqrefshirai-1\\ \eqrefshirai-1-inv \\
8;Shirai2003;8;72\\ 224;88\\ 360;\eqrefshirai-2\\ \eqrefshirai-2-inv \\
8;Shirai2003;8;80\\ 224;72\\ 360;\eqrefshirai-3\\ \eqrefshirai-3-inv \\
8;Shirai2003;8;80\\ 240;88\\ 424;\eqrefshirai-4\\ \eqrefshirai-4-inv \\
8;Shirai2003;8;88\\ 224;80\\ 424;\eqrefshirai-5\\ \eqrefshirai-5-inv \\
8;Shirai2003;8;80\\ 256;88\\ 416;\eqrefshirai-6\\ \eqrefshirai-6-inv \\
8;Shirai2003;8;72\\ 224;88\\ 360;\eqrefshirai-7\\ \eqrefshirai-7-inv \\
8;Shirai2003;8;80\\ 224;72\\ 360;\eqrefshirai-8\\ \eqrefshirai-8-inv \\
8;Shirai2003;8;80\\ 256;88\\ 416;\eqrefshirai-9\\ \eqrefshirai-9-inv \\
8;Shirai2003;8;88\\ 224;80\\ 424;\eqrefshirai-10\\ \eqrefshirai-10-inv \\
8;Shirai2003;8;80\\ 240;88\\ 424;\eqrefshirai-11\\ \eqrefshirai-11-inv \\
8;Shirai2003;8;80\\ 288;80\\ 424;\eqrefshirai-12\\ \eqrefshirai-12-inv \\
8;Shirai2003;8;72\\ 240;88\\ 400;\eqrefshirai-13\\ \eqrefshirai-13-inv \\
4;FOX2004;8;30\\72;25\\106;(\refmat:fox-mu4)\\(\refmat:fox-mu4-inv) \\
8;FOX2004;8;141\\284;169\\392;(\refmat:fox-mu8)\\(\refmat:fox-mu8-inv) \\
3;barreto2007curupira;8;12;15;(\refmat:curupira) \\
3;barreto2007curupira;8;27\\30;36\\36;(\refmat:curupira-ke) \\ (\refmat:curupira-ke-inv) \\
8;Grostl2009;8;104 \\ 232;96 \\ 376;(\refmat:grostl) \\ (\refmat:grostl-inv) \\
4;PHOTON2011;8;28\\55;27\\39;(\refmat:photon4x4)\\(\refmat:photon4x4-inv) \\
5;PHOTON2011;4;44\\44;52\\52;(\refmat:photon_a100)\\(\refmat:photon_a100-inv) \\
6;PHOTON2011;4;59\\74;59\\74;(\refmat:photon_a144)\\(\refmat:photon_a144-inv) \\
7;PHOTON2011;4;96\\104;96\\104;(\refmat:photon_a196)\\(\refmat:photon_a196-inv) \\
8;PHOTON2011;4;125\\136;143\\143;(\refmat:photon_a256)\\(\refmat:photon_a256-inv) \\
6;PHOTON2011;8;108\\163;126\\207;(\refmat:photon_a288)\\(\refmat:photon_a288-inv) \\
4;LED2012;4;26\\29;33\\39;(\refmat:led)\\(\refmat:led-inv) \\
4;Gupta2013OnCO;8;24\\64;36\\100;\eqrefmat:gupta_ray_0 \\ \eqrefmat:gupta_ray_0-inv \\
4;Gupta2013OnCO;8;56;80;\eqrefmat:gupta_ray_1 \\
3;Gupta2013OnCO;8;32\\34;46\\53;\eqrefmat:gupta_ray_3x3\\\eqrefmat:gupta_ray_3x3-inv \\
4;Gupta2013OnCO;8;56;60;\eqrefmat:gupta_ray_2 \\
8;Gupta2013OnCO;8;176;288;\eqrefmat:gupta_ray_3 \\
16;Gupta2013OnCO;8;800;1248;\eqrefmat:gupta_ray_4 \\
32;Gupta2013OnCO;8;3712;5440;\eqrefmat:gupta_ray_5 \\
4;proest:2014-LwInvolKhoo2015;4;16;20;\eqrefmat:khoo-14 \\
4;joltik2015-LwInvolKhoo2015;4;24;32;\eqrefmat:joltik \\
4;CuiJin2015;8;24;40;\eqrefmat:cui_jin \\
8;LwInvolKhoo2015;4;112;144;\eqrefmat:khoo \\
4;LwInvolKhoo2015;8;32;60;\eqrefmat:khoo-2 \\
8;LwInvolKhoo2015;8;128;208;\eqrefmat:khoo-3 \\
8;LwInvolKhoo2015;4;112;144;\eqrefmat:khoo-4 \\
16;LwInvolKhoo2015;8;832;1408;\eqrefmat:khoo-5 \\
32;LwInvolKhoo2015;8;3264;5728;\eqrefmat:khoo-6 \\
