Dim,Paper,Field Power,XOR,iXOR,XTIME,iXTIME,ID \\ iID
8,SHARK1996,8,235,223,369,393,mat:shark \\  mat:shark-inv
4,SQUARE1997,8,16,40,8,48,mat:square \\  mat:square-inv
8,Youssef1997,8,240,*,344,*,mat:tavares \\
3,BKSQ1998,8,9,39,9,63,mat:bksq \\  mat:bksq-inv
4,DesignOfRijndael2002,8,16,40,8,48,mat:rijndael \\  mat:rijndael-inv
8,KHAZAD2000,8,112,*,120,*,mat:khazad \\
4,ANUBIS2000,8,16,*,20,*,mat:anubis \\
4,ANUBIS2000,8,20,69,32,101,mat:anubis-ke \\  mat:anubis-ke-inv
4,Hierocrypt2000-Hierocrypt-L1-2000,8,52,52,108,104,mat:hierocrypt-3-lower \\  mat:hierocrypt-3-lower-inv
4,Hierocrypt2000,4,32,40,40,44,mat:hierocrypt-3-higher \\  mat:hierocrypt-3-higher-inv
2,Hierocrypt-L1-2000,4,8,7,10,11,mat:hierocrypt-l1-higher \\  mat:hierocrypt-l1-higher-inv
8,Shirai2003,8,72,240,88,400,shirai-0\\ shirai-0-inv
8,Shirai2003,8,80,288,80,424,shirai-1\\ shirai-1-inv
8,Shirai2003,8,72,224,88,360,shirai-2\\ shirai-2-inv
8,Shirai2003,8,80,224,72,360,shirai-3\\ shirai-3-inv
8,Shirai2003,8,80,240,88,424,shirai-4\\ shirai-4-inv
8,Shirai2003,8,88,224,80,424,shirai-5\\ shirai-5-inv
8,Shirai2003,8,80,256,88,416,shirai-6\\ shirai-6-inv
8,Shirai2003,8,72,224,88,360,shirai-7\\ shirai-7-inv
8,Shirai2003,8,80,224,72,360,shirai-8\\ shirai-8-inv
8,Shirai2003,8,80,256,88,416,shirai-9\\ shirai-9-inv
8,Shirai2003,8,88,224,80,424,shirai-10\\ shirai-10-inv
8,Shirai2003,8,80,240,88,424,shirai-11\\ shirai-11-inv
8,Shirai2003,8,80,288,80,424,shirai-12\\ shirai-12-inv
8,Shirai2003,8,72,240,88,400,shirai-13\\ shirai-13-inv
4,FOX2004,8,30,72,25,106,mat:fox-mu4\\mat:fox-mu4-inv
8,FOX2004,8,141,284,169,392,mat:fox-mu8\\mat:fox-mu8-inv
3,barreto2007curupira,8,12,*,15,*,mat:curupira \\
3,barreto2007curupira,8,27,30,36,36,mat:curupira-ke \\ mat:curupira-ke-inv
8,Grostl2009,8,104,232,96,376,mat:grostl \\ mat:grostl-inv
4,PHOTON2011,8,28,55,27,39,mat:photon4x4\\mat:photon4x4-inv
5,PHOTON2011,4,44,44,52,52,mat:photon_a100\\mat:photon_a100-inv
6,PHOTON2011,4,59,74,59,74,mat:photon_a144\\mat:photon_a144-inv
7,PHOTON2011,4,96,104,96,104,mat:photon_a196\\mat:photon_a196-inv
8,PHOTON2011,4,125,136,143,143,mat:photon_a256\\mat:photon_a256-inv
6,PHOTON2011,8,108,163,126,207,mat:photon_a288\\mat:photon_a288-inv
4,LED2012,4,26,29,33,39,mat:led\\mat:led-inv
4,Gupta2013OnCO,8,24,64,36,100,mat:gupta_ray_0 \\ mat:gupta_ray_0-inv
4,Gupta2013OnCO,8,56,*,80,*,mat:gupta_ray_1 \\
3,Gupta2013OnCO,8,32,34,46,53,mat:gupta_ray_3x3\\mat:gupta_ray_3x3-inv
4,Gupta2013OnCO,8,56,*,60,*,mat:gupta_ray_2 \\
8,Gupta2013OnCO,8,176,*,288,*,mat:gupta_ray_3 \\
16,Gupta2013OnCO,8,800,*,1248,*,mat:gupta_ray_4 \\
32,Gupta2013OnCO,8,3712,*,5440,*,mat:gupta_ray_5 \\
4,proest:2014-LwInvolKhoo2015,4,16,*,20,*,mat:khoo-14 \\
4,joltik2015-LwInvolKhoo2015,4,24,*,32,*,mat:joltik \\
4,CuiJin2015,8,24,*,40,*,mat:cui_jin \\
8,LwInvolKhoo2015,4,112,*,144,*,mat:khoo \\
4,LwInvolKhoo2015,8,32,*,60,*,mat:khoo-2 \\
8,LwInvolKhoo2015,8,128,*,208,*,mat:khoo-3 \\
8,LwInvolKhoo2015,4,112,*,144,*,mat:khoo-4 \\
16,LwInvolKhoo2015,8,832,*,1408,*,mat:khoo-5 \\
32,LwInvolKhoo2015,8,3264,*,5728,*,mat:khoo-6 \\
4,LwInvolKhoo2015,4,16,28,36,40,mat:khoo-7\\mat:khoo-7-inv
4,LwInvolKhoo2015,8,20,64,40,96,mat:khoo-8\\mat:khoo-8-inv
8,LwInvolKhoo2015,8,128,216,224,352,mat:khoo-9\\mat:khoo-9-inv
8,LwInvolKhoo2015,4,104,144,144,144,mat:khoo-10\\mat:khoo-10-inv
16,LwInvolKhoo2015,8,784,1232,1456,1600,mat:khoo-11\\mat:khoo-11-inv
